uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,label_binary
75,丸子,1608050,20,122840.4,86304.0,117223.98721314408,100.55,101.0,170.95,109.0,48.1,83.2,486.85,277.835292934501,0.0,33.333333333333336,0.5910836464997746,0.2623323789683746,0.5754440202875949,0.3210231298695541,0.1209901062712045,1.2675951858947383,0.6900416016578674,0.3749409231738697,0.3339953810623556,0.5651319026947021,0.600705087184906,0
63231,泛式,6527652,20,2729657.3,2551415.0,1209301.9747942504,101.0,101.0,2311.0,1800.0,28.6,108.2,859.2,269.00999785764174,0.0,2.803738317757009,0.6702309014621458,0.2411830552298229,0.6528282176750063,0.2763381367706872,0.1378506987558843,1.2455167168002728,0.6666193008422852,0.3846975602714018,0.3931721365572688,0.5728760957717896,0.6566051244735718,0
168598,逍遥散人,7466450,20,1702112.4,1017824.0,1963026.2588599047,100.9,101.0,2902.6,1764.5,23.75,51.2,4643.5,7349.216889896285,0.0,5.555555555555555,0.656511578266532,0.2607449657404379,0.643769100690857,0.2982695157129626,0.6341061834871162,1.403252713163257,0.6966891884803772,0.3782731776362349,0.3487990720556767,0.5899624228477478,0.6050423383712769,0
194128,赖美云,495760,20,106008.2,23603.0,284134.00492384424,95.25,100.0,97.85,39.5,20.6,66.0,108.2,81.97599135048468,0.0,1.935483870967742,0.7485289358863915,0.216953371633675,0.8139382053764349,0.2201967241271218,0.6642679343869755,1.3057156090695765,0.578818678855896,0.4772410883779793,0.8009910188912976,0.619873046875,0.6533903479576111,0
249118,shourei小N,2203491,20,351374.25,250486.5,289027.97475274093,100.55,101.0,277.5,130.5,16.3,53.85,164.85,190.73853004074783,0.0,1.1695906432748535,0.6395811685770824,0.2500175080771617,0.6627193101667506,0.2878545427223745,0.6623973783534933,1.2552437039592237,0.6501596570014954,0.4214169233556804,0.4517834460503278,0.5847634673118591,0.587272584438324,0
367877,笔吧评测室,2533198,20,313190.6,309094.5,177678.45537386378,100.9,101.0,1033.1,814.0,27.0,150.95,999.05,857.9870858431868,0.0,9.67741935483871,0.595456249731555,0.2792694905634477,0.5637719372275267,0.3229193334774304,0.0765444581075247,1.0406962493930163,0.6425037384033203,0.3700678462152454,0.3239487312791186,0.5279672145843506,0.5151103734970093,0
546195,老番茄,19978698,20,4004268.05,3545996.5,1752477.281705303,100.9,101.0,2489.7,1800.0,12.85,42.35,1037.9,522.40163012561,0.0,4.8,0.6478904598838824,0.2453118370988716,0.6582188042881439,0.2806282953219625,0.6018610735411526,1.2553428464946803,0.6118707656860352,0.4288300892967367,0.36972,0.6075825691223145,0.648988664150238,0
718918,熊妹撩电影,178259,20,72942.85,17712.5,119407.52893095717,35.15,25.5,51.9,29.5,23.8,7.85,391.45,143.3169013428853,0.0,8.21917808219178,0.6903293064688127,0.2519726943812412,0.6197818456763161,0.3276106593338018,1.7108914755521492,1.330225003443566,0.7148520350456238,0.3877480883237391,0.3536664503569111,0.5539144277572632,0.5913969874382019,0
946974,影视飓风,14273513,20,4176490.4,3287626.0,3134566.331594706,95.9,101.0,2629.25,1800.0,20.65,136.2,3234.8,8218.695776927396,0.05,12.244897959183676,0.629741809349575,0.2576374054459927,0.7137233299232882,0.290234314278583,1.5069247864253044,1.0008211398503182,0.5481581091880798,0.3936778419182948,0.3849769013859168,0.512403666973114,0.5988727807998657,0
3404595,卡布叻_周深,3236949,20,2038142.3,1566402.0,1473223.7626427896,95.9,101.0,1140.0,1200.0,26.9,45.35,305.2,86.19720352039761,0.05,0.6960556844547563,0.7484487791703984,0.2191595306306804,0.834967271057652,0.2295254098532507,1.0206840650427746,1.2496845834600667,0.7297566533088684,0.4541119895672019,0.51548,0.6118350028991699,0.6645302772521973,0
3670216,TF家族,7359462,20,1416576.9,1384565.5,450012.48885066336,100.8,101.0,7638.0,9600.0,28.3,0.0,4352.85,2183.781854224937,0.0,16.216216216216218,0.776242221229791,0.209682733748383,0.7426268269821127,0.2721601747905937,1.694087254446358,1.4015330004086797,0.8407666087150574,0.4031642887413476,0.58026,0.6256648302078247,0.7063276171684265,0
3766866,科技美学,4447239,20,684579.1,352358.0,756738.1768220692,100.85,101.0,1248.4,1200.0,50.5,51.0,851.95,344.5096400759537,0.0,9.375,0.6022625356306814,0.2760423709610159,0.6685858010597704,0.3277253906623789,0.9151700463354864,1.2881164305142183,0.6365009546279907,0.378012048192771,0.3143845477085499,0.5158591270446777,0.5400590896606445,0
4549624,Liyuu_,631604,20,161866.45,81516.0,229368.6230235823,100.2,100.0,103.45,64.0,21.6,15.3,121.65,110.00204543552816,0.0,1.910828025477707,0.6944464343393634,0.2234058915802051,0.6806903772759209,0.293379160342632,1.0557875451620116,0.5629936323405575,0.7138394117355347,0.5322506861848124,0.3476480354178196,0.6202797889709473,0.6385518908500671,0
4976111,龚琳娜,575037,20,456736.25,27080.5,1492828.4658292434,72.6,96.0,322.85,64.0,27.15,116.5,464.2,667.2266718132207,0.05,3.846153846153846,0.7432163456036676,0.2323708050800256,0.7919290288452008,0.2584131046884979,1.1525103798127478,1.0057521952250794,0.7054293751716614,0.4183074123097287,0.4372274500803305,0.5963473916053772,0.6045434474945068,0
