uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,pca_x,pca_y,cluster,label_binary
23920239,小米公司,3161224,20,105298.85,57175.0,131329.22593810800,100.9,101.0,229.05,113.0,19.1,80.7,547.0,1170.7084225059300,0.0,3.1088082901554400,0.5916140314952610,0.26897798674011,0.6312813025550980,0.3320300183630410,1.7488739327725800,0.6072561265492880,0.5934863686561580,0.3892295844148440,0.3552966101694920,0.529530942440033,0.5542181134223940,-0.1405548695115820,0.093807565140803,3,1
23947287,小约翰可汗,10318067,20,4959200.4,4997191.5,986389.1395952260,101.0,101.0,4500.0,3600.0,19.75,92.0,2299.2,248.8962159531350,0.0,3.278688524590160,0.682281040239821,0.230218429694971,0.658236657040235,0.3040005661086600,1.6340129072054000,1.104435147491460,0.5824447870254520,0.3926966907736140,0.3261882385875110,0.5431661605834960,0.5695086717605590,6.885288625134480,-1.1194607481319700,2,1
24919812,学姐潇潇,334405,20,62231.25,45946.5,53238.18190168940,82.2,100.0,48.05,30.5,28.4,38.7,393.6,174.98974406037600,0.0,1.9169329073482400,0.6412783201688720,0.2872654817993200,0.5581117305283420,0.3327254520447890,0.3487738906888700,1.6830791579946900,0.6093875169754030,0.3698959648806300,0.339078911931053,0.4948408901691440,0.5049085021018980,-0.3876201479351470,-0.0001427017836216,3,1
25910292,钟文泽,2410142,20,755866.65,569327.5,546448.0174644900,100.95,101.0,1979.85,1800.0,31.25,0.0,950.8,286.50518503620800,0.0,4.225352112676060,0.6119019122394800,0.2688596429062420,0.5741932716969120,0.3371145052623520,0.0510409570125022,1.3035856623344700,0.62907874584198,0.3935582981825760,0.3298202107873530,0.5028089880943300,0.5267769694328310,1.4871272121831000,-0.318300288737104,3,1
27899754,贪玩歌姬小宁子,1760570,20,1064450.4,820916.0,1070379.198822570,100.75,101.0,1065.45,808.5,25.8,17.0,576.45,188.5145464162550,0.0,3.947368421052630,0.6132672268035300,0.2764737537429060,0.5996073786484800,0.3237817861519600,0.0530402617213786,1.1881699314905500,0.5446764826774600,0.3720023684989640,0.32692,0.5083386898040770,0.5264034271240230,1.1711621116250500,-0.1986127941572050,3,1
31009079,萧然Q,1068125,20,1652838.5,1265441.0,1497194.3754648300,100.95,101.0,367.05,344.0,30.05,213.5,1688.4,1515.644084036120,0.0,7.142857142857140,0.6376034170112410,0.2630869953292430,0.5963391792376760,0.2919549355685180,1.7376213624817300,0.6888714263404960,0.7034022212028500,0.3837250426003920,0.3254353669279240,0.5840057134628300,0.6227712631225590,1.2383954234302000,0.0283298925815138,3,1
33971248,Sophie潘潘,138226,20,69696.9,40761.0,75986.38042570520,75.5,84.0,138.05,73.5,25.8,88.35,446.6,156.10502537512500,0.0,3.4285714285714300,0.7887277527644440,0.2137871797037240,0.7605636828167150,0.2718847138725150,0.9557218101891850,1.255479925288680,0.5280863046646120,0.3706855195051130,0.3403742820085230,0.5118071436882020,0.5444759130477910,-0.4100677554676880,-0.0294393919089336,3,1
37974444,黑马程序员,4492681,20,201212.2,131669.5,172867.92958775800,95.4,100.0,71.7,44.5,64.25,244.9,62638.1,55660.368187125,0.0,2.479338842975210,0.6737324721326340,0.2595316596533260,0.7419174083052630,0.2847810241188090,0.7301577715145070,1.4069818562757500,0.7862600684165960,0.3836811728986020,0.3508463749600770,0.5383336544036870,0.5859541296958920,0.3183826135867650,8.443300235526310,1,0
38598226,医学科普联盟,3041146,20,2114644.15,1712393.0,1563418.057463480,100.9,101.0,1325.35,1176.5,29.9,41.25,662.95,159.5970171862150,0.0,1.2820512820512800,0.6399261090993080,0.2448704780956660,0.6993594522284110,0.304869003852955,0.5650699043520270,1.4024682437980600,0.6250979900360110,0.3941848295945760,0.342766289348426,0.5002923011779790,0.5444594621658330,2.217602896388670,-0.3444232586867190,3,1
39627524,食贫道,8630869,20,3320832.8,2783822.0,2449565.86303044,100.85,101.0,6300.0,7200.0,23.9,13.95,3818.75,3734.695702040810,0.0,5.357142857142860,0.6914527049047130,0.2325292464811550,0.6674317127675560,0.3009926269173250,0.695778791037615,1.2214984158796700,0.5771739482879640,0.3812025545246420,0.3390132197356050,0.5449305772781370,0.5303963422775270,6.831760683179590,-1.0258330999661100,2,1
