uid,up_name,followers,label_binary,avg_comment_scraped,avg_danmaku,avg_length,avg_play,comment_repetition,danmaku_missing_rate,med_danmaku,med_play,std_length,upload_freq,model_prob_high,model_pred_label,confidence,shap_sum,shap_norm,value_score,score_percentile,score_bucket
75,丸子,1609272,1,90.35,139.5,425.65,106434.75,0.3327503072704926,0.0,101.5,95951.5,149.52333429936613,0.9759183120227716,0.7,1,0.7,0.19626774387595589,0.8951965065502181,79.7598253275109,83.58778625954199,Top 20%
63231,泛式,6527652,1,101.0,2311.0,859.2,2729657.3,0.384697560271402,0.0,1800.0,2551415.0,269.009997857642,2.80373831775701,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
168598,逍遥散人,7466450,1,100.9,2902.6,4643.5,1702112.4,0.378273177636235,0.0,1764.5,1017824.0,7349.21688989629,5.55555555555556,0.6833333333333333,1,0.6833333333333333,0.17960107720928914,0.8733624454148469,77.834788937409,69.8473282442748,Middle 60%
194128,赖美云,495760,1,95.25,97.85,108.2,106008.2,0.477241088377979,0.0,39.5,23603.0,81.9759913504847,1.93548387096774,0.46,0,0.54,-0.04373225612404384,0.5807860262008734,56.03930131004367,32.82442748091603,Middle 60%
249118,shourei小N,2203491,1,100.55,277.5,164.85,351374.25,0.42141692335568,0.0,130.5,250486.5,190.738530040748,1.16959064327485,0.6833333333333333,1,0.6833333333333333,0.179601077209289,0.8733624454148465,77.83478893740899,66.03053435114504,Middle 60%
367877,笔吧评测室,2533198,1,100.9,1033.1,999.05,313190.6,0.370067846215245,0.0,814.0,309094.5,857.987085843187,9.67741935483871,0.7366666666666667,1,0.7366666666666667,0.2329344105426226,0.9432314410480348,83.99490538573508,91.6030534351145,Top 20%
546195,老番茄,19978698,1,100.9,2489.7,1037.9,4004268.05,0.428830089296737,0.0,1800.0,3545996.5,522.40163012561,4.8,0.6833333333333333,1,0.6833333333333333,0.17960107720928914,0.8733624454148469,77.834788937409,69.8473282442748,Middle 60%
718918,熊妹撩电影,178259,0,35.15,51.9,391.45,72942.85,0.387748088323739,0.0,29.5,17712.5,143.316901342885,8.21917808219178,0.5,0,0.5,-0.0037322561240441636,0.6331877729257638,56.65938864628819,35.87786259541985,Middle 60%
946974,影视飓风,14273513,1,95.9,2629.25,3234.8,4176490.4,0.393677841918295,0.05,1800.0,3287626.0,8218.6957769274,12.2448979591837,0.7333333333333333,1,0.7333333333333333,0.2296010772092892,0.9388646288209604,83.60989810771468,89.69465648854961,Top 20%
3404595,卡布叻_周深,3236949,1,95.9,1140.0,305.2,2038142.3,0.454111989567202,0.05,1200.0,1566402.0,86.1972035203976,0.696055684454756,0.67,1,0.67,0.16626774387595605,0.8558951965065501,76.2947598253275,51.908396946564885,Middle 60%
3670216,TF家族,7359462,1,100.8,7638.0,4352.85,1416576.9,0.403164288741348,0.0,9600.0,1384565.5,2183.78185422494,16.2162162162162,0.7233333333333334,1,0.7233333333333334,0.21960107720928937,0.9257641921397378,82.45487627365355,87.02290076335878,Top 20%
3766866,科技美学,4455532,1,100.0,1247.35,739.25,677935.35,0.3404027550546365,0.0,1191.0,437044.0,253.11852460853197,0.2690333296175181,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
4549624,Liyuu_,630812,1,100.0,103.85,122.2,167489.95,0.5282565383763954,0.0,66.0,87769.5,107.66503610736403,0.05938575948045709,0.6666666666666666,1,0.6666666666666666,0.16293441054262298,0.8515283842794763,75.90975254730714,51.14503816793893,Middle 60%
4976111,龚琳娜,575037,1,72.6,322.85,464.2,456736.25,0.418307412309729,0.05,64.0,27080.5,667.226671813221,3.84615384615385,0.6033333333333334,1,0.6033333333333334,0.09960107720928947,0.7685589519650655,68.59461426491995,41.98473282442748,Middle 60%
6014992,叫我棉被,1890836,1,100.8,218.95,801.6,143713.8,0.374558819949858,0.0,126.5,109217.0,1234.85402504016,42.8571428571429,0.7733333333333333,1,0.7733333333333333,0.26960107720928955,0.9912663755458516,88.22998544395925,99.23664122137404,Top 20%
8482768,ZEALER官方频道,877012,1,69.75,257.65,817.65,56239.8,0.351575205173783,0.0,72.5,29831.5,929.695325022354,5.94059405940594,0.61,1,0.61,0.10626774387595606,0.7772925764192139,69.36462882096069,45.80152671755725,Middle 60%
