uid,up_name,followers,label_binary,avg_comment_scraped,avg_danmaku,avg_length,avg_play,comment_repetition,danmaku_missing_rate,med_danmaku,med_play,std_length,upload_freq
75,丸子,1608050,1,100.55,170.95,486.85,122840.4,0.37494092317387,0.0,109.0,86304.0,277.835292934501,33.3333333333333
63231,泛式,6527652,1,101.0,2311.0,859.2,2729657.3,0.384697560271402,0.0,1800.0,2551415.0,269.009997857642,2.80373831775701
168598,逍遥散人,7466450,1,100.9,2902.6,4643.5,1702112.4,0.378273177636235,0.0,1764.5,1017824.0,7349.21688989629,5.55555555555556
194128,赖美云,495760,1,95.25,97.85,108.2,106008.2,0.477241088377979,0.0,39.5,23603.0,81.9759913504847,1.93548387096774
249118,shourei小N,2203491,1,100.55,277.5,164.85,351374.25,0.42141692335568,0.0,130.5,250486.5,190.738530040748,1.16959064327485
367877,笔吧评测室,2533198,1,100.9,1033.1,999.05,313190.6,0.370067846215245,0.0,814.0,309094.5,857.987085843187,9.67741935483871
546195,老番茄,19978698,1,100.9,2489.7,1037.9,4004268.05,0.428830089296737,0.0,1800.0,3545996.5,522.40163012561,4.8
718918,熊妹撩电影,178259,0,35.15,51.9,391.45,72942.85,0.387748088323739,0.0,29.5,17712.5,143.316901342885,8.21917808219178
946974,影视飓风,14273513,1,95.9,2629.25,3234.8,4176490.4,0.393677841918295,0.05,1800.0,3287626.0,8218.6957769274,12.2448979591837
3404595,卡布叻_周深,3236949,1,95.9,1140.0,305.2,2038142.3,0.454111989567202,0.05,1200.0,1566402.0,86.1972035203976,0.696055684454756
3670216,TF家族,7359462,1,100.8,7638.0,4352.85,1416576.9,0.403164288741348,0.0,9600.0,1384565.5,2183.78185422494,16.2162162162162
3766866,科技美学,4447239,1,100.85,1248.4,851.95,684579.1,0.378012048192771,0.0,1200.0,352358.0,344.509640075954,9.375
4549624,Liyuu_,631604,1,100.2,103.45,121.65,161866.45,0.532250686184812,0.0,64.0,81516.0,110.002045435528,1.91082802547771
4976111,龚琳娜,575037,1,72.6,322.85,464.2,456736.25,0.418307412309729,0.05,64.0,27080.5,667.226671813221,3.84615384615385
6014992,叫我棉被,1890836,1,100.8,218.95,801.6,143713.8,0.374558819949858,0.0,126.5,109217.0,1234.85402504016,42.8571428571429
8482768,ZEALER官方频道,877012,1,69.75,257.65,817.65,56239.8,0.351575205173783,0.0,72.5,29831.5,929.695325022354,5.94059405940594
10399934,白泽talk,4999,0,18.8,4.15,1948.2,3692.75,0.375491900796193,0.65,0.0,2870.5,1534.72944984141,1.57894736842105
11253297,多多poi丶,3027399,1,99.7,302.7,396.75,262242.95,0.397581278467096,0.0,200.0,169996.0,345.034838057962,2.15827338129496
12807175,法老爷爷,1900407,1,100.5,612.6,516.05,591235.35,0.400928885940045,0.0,123.0,63870.0,797.436648201434,2.62008733624454
12890453,程序员鱼皮,707383,1,80.05,92.45,452.55,63845.6,0.363406173245892,0.0,46.0,33253.5,296.398464908305,9.67741935483871
13164144,魔法Zc目录,3179136,1,101.0,619.5,1787.75,705801.55,0.366744791666667,0.0,247.5,577022.5,1464.96426667396,9.52380952380952
18343098,河野华,3229028,1,101.0,1241.6,447.85,2017937.45,0.425189816882537,0.0,980.0,1488778.5,563.463563011935,1.59574468085106
20713882,单依纯,1254701,1,100.9,1108.0,456.15,1073989.7,0.389755950587526,0.0,1200.0,738515.0,438.927673576842,5.0
21149898,林森小朋友,777281,1,66.7,53.0,232.1,145215.55,0.426752756289212,0.05,23.5,68289.0,143.586357657206,3.40909090909091
